title,heading,context,tokens
"Zones Development Standards - Mobile Home Planned Development, Mobile Home Subdivision (MHP)",Maximum Density,"Zones Development Standards - Mobile Home Planned Development, Mobile Home Subdivision (MHP)
Maximum Density

See Section 35.23.080 (MHP Zone Standards) and Section 35.23.090 (MHS Zone Standards); plus one or more accessory dwelling units and/or one junior accessory dwelling unit per lot where allowed in compliance with Section 35.42.015 (Accessory Dwelling Units and Junior Accessory Dwelling Units).",91.0
"Residential Zones Development Standards - Mobile Home Planned Development, Mobile Home Subdivision (MHP)",Front Setback Primary,"Residential Zones Development Standards - Mobile Home Planned Development, Mobile Home Subdivision (MHP)
Front Setback Primary

50 feet from the centerline or 20 feet from the right-of-way line of any street.",48.0
"Residential Zones Development Standards - Mobile Home Planned Development, Mobile Home Subdivision (MHP)",Front Setback Secondary,"Residential Zones Development Standards - Mobile Home Planned Development, Mobile Home Subdivision (MHP)
Front Setback Secondary

Lot width less than 100 ft - 20% of lot width, 10 ft min.; Lot width 100 ft or greater - Same as primary front setback.",57.0
"Residential Zones Development Standards - Mobile Home Planned Development, Mobile Home Subdivision (MHP)",Setbacks Side,"Residential Zones Development Standards - Mobile Home Planned Development, Mobile Home Subdivision (MHP)
Setbacks Side

15 feet from the side or rear property lines of the mobile home park.",41.0
"Residential Zones Development Standards - Mobile Home Planned Development, Mobile Home Subdivision (MHP)",Setbacks Rear,"Residential Zones Development Standards - Mobile Home Planned Development, Mobile Home Subdivision (MHP)
Setbacks Rear

15 feet from the side or rear property lines of the mobile home park.",41.0
"Residential Zones Development Standards - Mobile Home Planned Development, Mobile Home Subdivision (MHP)",Accessory Structures,"Residential Zones Development Standards - Mobile Home Planned Development, Mobile Home Subdivision (MHP)
Accessory Structures

See Section 35.42.020 (Accessory Structures and Uses).",40.0
"Residential Zones Development Standards - Mobile Home Planned Development, Mobile Home Subdivision (MHP)",Building Seperation,"Residential Zones Development Standards - Mobile Home Planned Development, Mobile Home Subdivision (MHP)
Building Seperation

See Section 35.23.080 (MHP Zone Standards) and Section 35.23.090 (MHS Zone Standards).",53.0
"Residential Zones Development Standards - Mobile Home Planned Development, Mobile Home Subdivision (MHP)",Maximum Coverage,"Residential Zones Development Standards - Mobile Home Planned Development, Mobile Home Subdivision (MHP)
Maximum Coverage

Structures shall not occupy more than 75 percent of each mobile home site",39.0
"Residential Zones Development Standards - Mobile Home Planned Development, Mobile Home Subdivision (MHP)",Maximum Height,"Residential Zones Development Standards - Mobile Home Planned Development, Mobile Home Subdivision (MHP)
Maximum Height

No structure shall exceed a height of 25 feet",34.0
"Residential Zones Development Standards - Mobile Home Planned Development, Mobile Home Subdivision (MHP)",Landscaping,"Residential Zones Development Standards - Mobile Home Planned Development, Mobile Home Subdivision (MHP)
Landscaping

See Chapter 35.34 (Landscaping Standards).",37.0
"Residential Zones Development Standards - Mobile Home Planned Development, Mobile Home Subdivision (MHP)",Parking,"Residential Zones Development Standards - Mobile Home Planned Development, Mobile Home Subdivision (MHP)
Parking

See Chapter 35.36 (Parking and Loading Standards).",37.0
"Residential Zones Development Standards - Mobile Home Planned Development, Mobile Home Subdivision (MHP)",Signs,"Residential Zones Development Standards - Mobile Home Planned Development, Mobile Home Subdivision (MHP)
Signs

See Chapter 35.38 (Sign Standards).",34.0
Residential Zones Development Standards - Multi-family Residential - Orcutt (MR-O),Minimum lot area and width,"Residential Zones Development Standards - Multi-family Residential - Orcutt (MR-O)
Minimum lot area and width

See Section 35.23.130 (Multi- family Residential - Orcutt Zone Standards).",47.0
Residential Zones Development Standards - Multi-family Residential - Orcutt (MR-O),Maximum Density,"Residential Zones Development Standards - Multi-family Residential - Orcutt (MR-O)
Maximum Density

See Section 35.23.130 (Multi- family Residential - Orcutt Zone Standards); plus one or more accessory dwelling units and/or one junior accessory dwelling unit per lot where allowed in compliance with Section

35.42.015 (Accessory Dwelling Units and Junior Accessory Dwelling Units).",88.0
Residential Zones Development Standards - Multi-family Residential - Orcutt (MR-O),Front Setback Primary,"Residential Zones Development Standards - Multi-family Residential - Orcutt (MR-O)
Front Setback Primary

See Section 35.23.130 (Multi- family Residential - Orcutt Zone Standards).",46.0
Residential Zones Development Standards - Multi-family Residential - Orcutt (MR-O),Front Setback Secondary,"Residential Zones Development Standards - Multi-family Residential - Orcutt (MR-O)
Front Setback Secondary

See Section 35.23.130 (Multi- family Residential - Orcutt Zone Standards).",46.0
Residential Zones Development Standards - Multi-family Residential - Orcutt (MR-O),Setbacks Side,"Residential Zones Development Standards - Multi-family Residential - Orcutt (MR-O)
Setbacks Side

See Section 35.23.130 (Multi- family Residential - Orcutt Zone Standards).",45.0
Residential Zones Development Standards - Multi-family Residential - Orcutt (MR-O),Setbacks Rear,"Residential Zones Development Standards - Multi-family Residential - Orcutt (MR-O)
Setbacks Rear

See Section 35.23.130 (Multi- family Residential - Orcutt Zone Standards).",45.0
Residential Zones Development Standards - Multi-family Residential - Orcutt (MR-O),Accessory Structures,"Residential Zones Development Standards - Multi-family Residential - Orcutt (MR-O)
Accessory Structures

See Section 35.42.020 (Accessory Structures and Uses).",40.0
Residential Zones Development Standards - Multi-family Residential - Orcutt (MR-O),Building Seperation,"Residential Zones Development Standards - Multi-family Residential - Orcutt (MR-O)
Building Seperation

See Section 35.23.130 (Multi- family Residential - Orcutt Zone Standards).",46.0
Residential Zones Development Standards - Multi-family Residential - Orcutt (MR-O),Maximum Coverage,"Residential Zones Development Standards - Multi-family Residential - Orcutt (MR-O)
Maximum Coverage

See Section 35.23.130 (Multi- family Residential - Orcutt Zone Standards).",44.0
Residential Zones Development Standards - Multi-family Residential - Orcutt (MR-O),Maximum Height,"Residential Zones Development Standards - Multi-family Residential - Orcutt (MR-O)
Maximum Height

See Section 35.23.130 (Multi- family Residential - Orcutt Zone Standards).",44.0
Residential Zones Development Standards - Multi-family Residential - Orcutt (MR-O),Landscaping,"Residential Zones Development Standards - Multi-family Residential - Orcutt (MR-O)
Landscaping

See Chapter 35.34 (Landscaping Standards).",37.0
Residential Zones Development Standards - Multi-family Residential - Orcutt (MR-O),Parking,"Residential Zones Development Standards - Multi-family Residential - Orcutt (MR-O)
Parking

See Chapter 35.36 (Parking and Loading Standards).",37.0
Residential Zones Development Standards - Multi-family Residential - Orcutt (MR-O),Signs,"Residential Zones Development Standards - Multi-family Residential - Orcutt (MR-O)
Signs

See Chapter 35.38 (Sign Standards).",34.0
